symbol	loading
PROSC	-0.0151816402414887
SEC31A	-0.0151566427046151
COPB1	-0.0151545003122022
EPS8	-0.0151496147616929
NRIP1	-0.0151459979329783
RAB2A	-0.0151243792680932
NBR1	-0.0151200550573206
UGDH	-0.0151042811260948
PLCE1	-0.0151025692412917
DERA	-0.0150686573713
AFF1	-0.0150680983058212
MAN1A1	-0.0150549907101588
PDZK1	-0.0150502119903037
MED17	-0.0150472235620158
BIRC2	-0.0150392382268769
TSPAN12	-0.0150382479413231
SEPP1	-0.0150231802569849
PAFAH1B1	-0.015016729206263
MGST2	-0.0150076160219467
PDLIM5	-0.015006732774692
TRPA1	-0.0150041024385124
SLC46A3	-0.0149948621574741
ETS2	-0.0149914505620981
GABARAPL2	-0.0149684522615567
VAMP8	-0.0149501625762894
FZD5	-0.0149480167384632
H2AFY	-0.0149468280170857
PLXNA2	-0.0149409339634377
GNG10	-0.0149395835483407
BCAR3	-0.0149355707804377
GGNBP2	-0.0149342418779998
PEX2	-0.0149321634999041
RBM7	-0.0149299966771342
UAP1	-0.0149299577317678
RNF11	-0.0149284383010745
YWHAZ	-0.0149236884079534
GOLPH3L	-0.0149154022188722
SPG21	-0.0149109595482086
WSB2	-0.0149086009147051
YWHAH	-0.0149041780506682
MAP2K4	-0.0149015150277359
IMPA1	-0.0149012214365944
NEK7	-0.0149009902336205
PDHB	-0.0149002581100737
AKAP13	-0.0148977344747527
SERTAD2	-0.0148938870612487
EIF4G2	-0.0148913851977129
CALM3	-0.0148816983256168
TAOK3	-0.0148808381532581
ATP6V1B2	-0.0148800361448246
PDCD4	-0.0148779975657808
SOCS2	-0.0148750882163845
PSMA6	-0.0148741213990151
SMAD7	-0.01487158670795
CTNND1	-0.0148643204154457
KDM3B	-0.014864313396567
SUMO1	-0.0148593635699683
SACM1L	-0.014858137165935
KDM3A	-0.014853107804622
BZW1	-0.0148523875777407
HMGCS1	-0.0148455227081912
SEMA5A	-0.0148428789251036
VBP1	-0.0148327317101682
ARPC2	-0.014827566448819
FAM172A	-0.0148263057814145
NFU1	-0.0148253909332253
SPRY2	-0.0148182069181726
MORF4L2	-0.0148161263219108
SMURF2	-0.0148137383959374
SPRED2	-0.0148130340866396
IDI1	-0.0148108762756383
DNAJA1	-0.014807727651293
ACADM	-0.0148029273277242
PIK3CB	-0.0148022856578815
PDLIM1	-0.014800857812993
BTBD3	-0.0147951225134063
GLRX	-0.0147894466983029
ARPC3	-0.014784459817065
EAPP	-0.014780956570596
ATP6V1E1	-0.014772638963386
SLC25A24	-0.0147720423137724
SATB1	-0.0147711769567544
ENPEP	-0.0147646035633438
HNMT	-0.0147599994780183
PLSCR4	-0.014759067942671
ATP5H	-0.014753938440051
AHNAK	-0.0147450326708148
GLUD1	-0.0147440014530855
DYNLT1	-0.0147439161259501
USP53	-0.0147411464187886
RANBP9	-0.0147348551379258
CCNG2	-0.0147348235013378
HSP90AA1	-0.0147342614113587
GNG5	-0.014733955719367
DENND1B	-0.0147330666273638
NDUFB4	-0.0147303441907649
C1orf115	-0.0147287823691659
MTX2	-0.0147286590672475
MAPRE1	-0.0147274649943803
SMARCE1	-0.0147263958499176
DSP	-0.0147226824038839
RAD21	-0.0147223940216494
PTPRM	-0.0147221265181349
CHCHD2	-0.0147193922333867
BMP2	-0.0147185888554175
PERP	-0.0147171725815935
RAB22A	-0.0147158258558899
TRIM2	-0.014715807411684
SNAP23	-0.014715523354156
SUMO2	-0.0147042561502456
KIF5B	-0.0146982415664312
TNFRSF21	-0.0146969895310916
