symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	direction
CER1	7.10333333333333	-2.925	89.9605787828648	5.88357608310262e-14	1.37128507768873e-09	20.934871387424	Up
CUZD1	-5.71666666666667	1.45166666666667	-50.0892172611514	8.43585311872783e-12	1.51241868183223e-08	17.6013139677347	Down
HAS2	5.01333333333334	-2.22	62.477562850141	1.29652715020629e-12	6.84068421149469e-09	19.0366987033109	Up
PRDM1	4.92333333333333	-2.405	63.8987109082685	1.07142191162217e-12	6.84068421149469e-09	19.1713998404186	Up
IDO1	-4.91666666666667	1.855	-61.1983324101669	1.54508686109846e-12	6.84068421149469e-09	18.9108614864172	Down
SEMA3E	4.91666666666667	-0.835	54.2028314906618	4.32272949355035e-12	9.15907784601618e-09	18.1363150391083	Up
MFAP4	4.82333333333333	-2.085	36.6048370485419	1.19758771678169e-10	6.80482661351124e-08	15.2685185309044	Up
EOMES	4.82333333333333	-1.02166666666667	69.7237371482134	5.11266553028668e-13	5.95804477571958e-09	19.6726041676493	Up
CYP26A1	4.81666666666667	-1.375	54.5779272165713	4.07737387763789e-12	9.15907784601618e-09	18.1819233644101	Up
SLC40A1	4.8	-1.45333333333333	60.2612463448895	1.76102052040023e-12	6.84068421149469e-09	18.8158032402773	Up
CXCR4	4.62666666666667	-0.996666666666667	38.358901323317	8.06419654376641e-11	5.07978996879902e-08	15.6349481802399	Up
LECT1	-4.27666666666667	1.755	-43.6275401338821	2.71584846313569e-11	2.88566280263387e-08	16.6114348057803	Down
FGF17	4.16	-1.33	30.1298734510728	6.18724486697436e-10	1.75861117212892e-07	13.6906930602218	Up
TRPA1	4.12333333333333	-0.931666666666667	29.7867457484552	6.81389802854117e-10	1.76457245945788e-07	13.5955059164985	Up
ANKRD1	4.10333333333334	-1.33166666666667	39.2342706543279	6.66402454110954e-11	4.31440055499e-08	15.8095457829946	Up
FAM159B	3.99333333333333	-0.146666666666667	44.2493842953994	2.40933501839953e-11	2.88566280263387e-08	16.7157897156582	Up
PCDH10	3.99	-1.85833333333333	51.0482333887844	7.18404081960897e-12	1.39532032818855e-08	17.7320106358549	Up
RHOBTB3	3.98	-1.12	57.3763236343275	2.66903872151402e-12	8.10246207234444e-09	18.5069215172165	Up
LGR5	3.95	-1.42833333333333	34.9626016322342	1.76459344321166e-10	8.89697935918097e-08	14.9039103712791	Up
CD48	3.87666666666667	0.158333333333333	36.5718000175396	1.2067564202297e-10	6.80482661351124e-08	15.2613952612949	Up
ST8SIA4	3.87333333333333	0.416666666666667	29.9041094544561	6.59191416160322e-10	1.76457245945788e-07	13.6282126611559	Up
COL5A2	3.86333333333333	-0.938333333333333	41.9292676018613	3.79995086714927e-11	3.33512118986078e-08	16.3153554953804	Up
COLEC12	3.77333333333333	-0.91	32.3051156849005	3.43819874010932e-10	1.19260758523166e-07	14.2647922601105	Up
FLRT3	3.7	-0.14	21.5192032266924	1.04337886297018e-08	9.88537852001871e-07	10.8160873646259	Up
ELOVL2	3.66333333333333	-0.655	34.8939188360467	1.79413064693657e-10	8.89697935918097e-08	14.8881798394123	Up
CHL1	3.66333333333333	0.391666666666667	20.2608304291267	1.72545340170679e-08	1.39152741984706e-06	10.2889932928522	Up
CCL2	3.66333333333333	-1.095	45.5426050207393	1.88808474257295e-11	2.64281785128657e-08	16.9262071990638	Up
CXCL5	-3.65	1.26833333333333	-34.5219855785295	1.96399188332476e-10	9.25037115397336e-08	14.8022986331064	Down
MIXL1	3.64333333333333	-0.908333333333333	43.7967622971809	2.62833098124974e-11	2.88566280263387e-08	16.6400423694665	Up
MGST2	3.58	-0.373333333333333	43.1661640119032	2.97146382044934e-11	2.88566280263387e-08	16.5326289910519	Up
TRIM22	-3.55	0.911666666666667	-48.4372708739735	1.12064035975776e-11	1.86562606177672e-08	17.3670011562236	Down
EHHADH	3.5	1.18333333333333	33.4095791771122	2.58929314354811e-10	1.02285856435044e-07	14.5382179576493	Up
PMEL	-3.46333333333333	1.03166666666667	-57.0379433313548	2.80625118945707e-12	8.10246207234444e-09	18.4690038804986	Down
PLXNA2	3.46333333333333	-1.36833333333333	32.2035770097243	3.5306956442693e-10	1.19260758523166e-07	14.2390684350143	Up
DIO3	3.45666666666667	-0.641666666666667	32.428905186048	3.32907353579354e-10	1.19260758523166e-07	14.2960170291534	Up
MANEA	3.44666666666667	-0.396666666666667	33.0029029002069	2.87113121995458e-10	1.07746738344837e-07	14.4388780778665	Up
