tair_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol_annot	symbol	change	change_labeled
AT1G78930	95.5570692645406	0.786775965447606	0.226933723141717	3.46698566680755	0.000526329954919805	0.000875080165348076	mTERF16	mTERF16	Up-regulated	Up-regulated (16804)
AT1G71695	5701.30246024797	0.675891595174513	0.0869172696696619	7.77626354052893	7.4698010183861e-15	1.29755322185367e-13		AT1G71695	Up-regulated	Up-regulated (16804)
AT1G56250	13.1674494595843	0.107392643132675	0.479338176863385	0.224043584083816	0.822723389915905	0.833879789442628	AtPP2-B14	AtPP2-B14	NotSig	NotSig
AT1G69810	467.729339058164	0.976180692911519	0.166346401002527	5.86836076421448	4.40124777969567e-09	2.11888938712194e-08	ATWRKY36	ATWRKY36	Up-regulated	Up-regulated (16804)
AT1G72450	335.452149744358	0.630665055835975	0.12987436937854	4.85596241085721	1.19803428376211e-06	3.47236656261646e-06	JAZ6	JAZ6	Up-regulated	Up-regulated (16804)
AT1G76280	355.532287813156	0.537622556365862	0.131373278834178	4.09232806805757	4.27063870508821e-05	8.84957634891535e-05		AT1G76280	Up-regulated	Up-regulated (16804)
AT1G15210	1255.58883288725	0.923273695074872	0.101408495744644	9.10450044934855	8.66643414346369e-20	4.41513858851086e-18	ABCG35	ABCG35	Up-regulated	Up-regulated (16804)
AT1G15250	625.786895865667	0.735401520140037	0.176844262822325	4.15846976545059	3.20386628175092e-05	6.81787005925382e-05	RPL37A	RPL37A	Up-regulated	Up-regulated (16804)
AT1G79700	1400.31120755278	0.374004971465099	0.128191164124257	2.91755655719433	0.00352785663943229	0.0050436651989929	WRI4	WRI4	Up-regulated	Up-regulated (16804)
AT1G73360	71.6186512603286	0.283012994042155	0.212277910393561	1.33321923848531	0.182459867707587	0.201675224673547	AtEDT1	AtEDT1	NotSig	NotSig
AT1G16360	26.2817707542272	1.28626184433368	0.414481125713531	3.10330619306097	0.00191371531814639	0.0028681221892161		AT1G16360	Up-regulated	Up-regulated (16804)
AT1G26670	2277.71110743411	0.514823196253007	0.0994683270166711	5.17575002710884	2.26997213702394e-07	7.68922086772249e-07	ATVTI12	ATVTI12	Up-regulated	Up-regulated (16804)
AT1G52200	1986.22184622889	0.414391320403639	0.143370148082136	2.89035985487185	0.00384801062394316	0.0054689283538068		AT1G52200	Up-regulated	Up-regulated (16804)
AT1G69460	2194.27684612324	0.250542932622905	0.165631600718393	1.51265176171834	0.130368138679473	0.146893677385322		AT1G69460	NotSig	NotSig
AT1G04310	274.252301323916	0.708406719397792	0.135317405634086	5.23514854632527	1.64852226889449e-07	5.73301682237378e-07	ERS2	ERS2	Up-regulated	Up-regulated (16804)
AT1G75550	81.3423312379242	0.220743364045044	0.203833161998108	1.08296099555721	0.278825736095343	0.300734731158238		AT1G75550	NotSig	NotSig
AT1G71890	22.2247645417533	1.02715014829476	0.379357095331229	2.70760758381998	0.00677701016018082	0.00925041109574134	ATSUC5	ATSUC5	Up-regulated	Up-regulated (16804)
AT1G05430	772.885219399702	0.715920608064194	0.119171126982069	6.00750052629707	1.88405195383067e-09	9.86081881279126e-09		AT1G05430	Up-regulated	Up-regulated (16804)
AT1G80870	615.491646227741	0.679049615059078	0.156213186217341	4.34694171152945	1.38048886276755e-05	3.16813221755709e-05		AT1G80870	Up-regulated	Up-regulated (16804)
